_id,disease_name,affected_crops[0],affected_crops[1],outbreak_season,preventive_measures,historical_occurrences.2019[0],historical_occurrences.2019[1],historical_occurrences.2020[0],historical_occurrences.2020[1],historical_occurrences.2018[0],historical_occurrences.2021[0],historical_occurrences.2021[1]
66fd159168a6d76dd741577a,Moth Bean Aphid,Moth Beans,,Kharif,"Use natural predators, apply insecticides",,,Haryana,,,Rajasthan,
66fd159168a6d76dd741577b,Muskmelon Cucumber Beetle,Muskmelon,,Summer,"Use row covers, apply insecticides",,,Florida,,,California,
66fd159168a6d76dd741577c,Orange Scab,Orange,,Summer,"Crop rotation, apply fungicides",,,California,,,Florida,
66fd159168a6d76dd741577d,Papaya Root Knot Nematode,Papaya,,All Year,"Use disease-free seedlings, maintain healthy soil",,,Florida,,,Hawaii,
66fd159168a6d76dd741577e,Rice Stem Blight,Rice,,Kharif,"Use resistant varieties, apply fungicides",,,Punjab,,,West Bengal,
66fd159168a6d76dd741577f,Pigeon Pea Cyst Nematode,Pigeon Peas,,Kharif,"Rotate crops, use resistant varieties",,,Karnataka,,,Maharashtra,
66fd159168a6d76dd7415780,Pomegranate Root Rot,Pomegranate,,Summer,"Improve soil drainage, apply fungicides",,,Rajasthan,,,Gujarat,
66fd159168a6d76dd7415781,Watermelon Downy Mildew,Watermelon,,Kharif,"Improve air circulation, apply fungicides",,,Texas,,,California,
66fd159168a6d76dd7415782,Apple Scald,Apple,,Spring,"Monitor temperature, apply fungicides",,,New York,,,Oregon,
66fd159168a6d76dd7415783,Banana Cucumber Beetle,Banana,,All Year,"Use row covers, apply insecticides",,,Tamil Nadu,,,Kerala,
